총연번,의원번호,의원명,당,당ID,지역명,연월일,내역,지출액,사용처,분류,주소,의원지출액순위,
17_000018,3,강길부,자유한국당,200,울산 울주군,2017.1.6,상임위원회의,"160,000",여의도소호정,간담회_식대,,75,
17_000019,3,강길부,자유한국당,200,울산 울주군,2017.1.7,지역현안회의,"84,000",두남일회,간담회_식대,,75,
17_000020,3,강길부,자유한국당,200,울산 울주군,2017.1.8,지역예산회의,"36,000",경기식당,간담회_식대,,75,
17_000021,3,강길부,자유한국당,200,울산 울주군,2017.1.9,지역예산회의,"120,000",수림흿집,간담회_식대,,75,
17_000023,3,강길부,자유한국당,200,울산 울주군,2017.1.11,지역현안회의,"84,000",대가,간담회_식대,,75,
17_000024,3,강길부,자유한국당,200,울산 울주군,2017.1.13,수행직원2인식대,"17,000",면,사무실_식대비,,75,
17_000025,3,강길부,자유한국당,200,울산 울주군,2017.1.14,지역현안회의,"76,000",어하복짜장,간담회_식대,,75,
17_000026,3,강길부,자유한국당,200,울산 울주군,2017.1.15,예산회의,"44,400",언양불고기,간담회_식대,,75,
17_000027,3,강길부,자유한국당,200,울산 울주군,2017.1.17,상임위회의,"65,000",다모아산채,간담회_식대,,75,
17_000028,3,강길부,자유한국당,200,울산 울주군,2017.1.17,수행직원2인식대,"12,000",해동식당,사무실_식대비,,75,
17_000033,3,강길부,자유한국당,200,울산 울주군,2017.1.19,예산회의,"20,000",롯데호텔울산,간담회_식대,,75,
17_000034,3,강길부,자유한국당,200,울산 울주군,2017.1.19,수행직원식대,"9,500",델리카한스,사무실_식대비,,75,
17_000035,3,강길부,자유한국당,200,울산 울주군,2017.1.19,지역현안회의,"86,750",롯데호텔울산,간담회_식대,,75,
17_000036,3,강길부,자유한국당,200,울산 울주군,2017.1.20,지역현안회의,"100,000",신토불이숯불고기,간담회_식대,,75,
17_000037,3,강길부,자유한국당,200,울산 울주군,2017.1.21,수행직원식대,"8,000",(주)신세계푸드,사무실_식대비,,75,
17_000045,3,강길부,자유한국당,200,울산 울주군,2017.1.27,지역현안회의,"98,000",동해생아구나라,간담회_식대,,75,
17_000053,3,강길부,자유한국당,200,울산 울주군,2017.2.2,지역예산회의,"18,000",경초루,간담회_식대,,75,
17_000054,3,강길부,자유한국당,200,울산 울주군,2017.2.3,지역예산회의,"95,000",놀부회센터,간담회_식대,,75,
17_000055,3,강길부,자유한국당,200,울산 울주군,2017.2.4,지역현안회의,"57,000",어하복짜장,간담회_식대,,75,
17_000056,3,강길부,자유한국당,200,울산 울주군,2017.2.4,수행직원식대,"7,500",고릴라,사무실_식대비,,75,
17_000057,3,강길부,자유한국당,200,울산 울주군,2017.2.5,수행직원식대2인,"14,800",언양불고기,사무실_식대비,,75,
17_000059,3,강길부,자유한국당,200,울산 울주군,2017.2.6,지역현안회의,"120,000",동해생아구나라,간담회_식대,,75,
17_000061,3,강길부,자유한국당,200,울산 울주군,2017.2.7,상임위관련회의,"36,000",국회회관의원식당,간담회_식대,,75,
17_000063,3,강길부,자유한국당,200,울산 울주군,2017.2.8,상임위관련회의,"34,000",국회회관의원식당,간담회_식대,,75,
17_000064,3,강길부,자유한국당,200,울산 울주군,2017.2.8,수행직원식대3인,"24,000",티롤,사무실_식대비,,75,
17_000068,3,강길부,자유한국당,200,울산 울주군,2017.2.11,지역현안회의,"80,000",동해생아구나라,간담회_식대,,75,
17_000069,3,강길부,자유한국당,200,울산 울주군,2017.2.12,지역예산회의,"98,000",명촌순두부보쌈,간담회_식대,,75,
17_000071,3,강길부,자유한국당,200,울산 울주군,2017.2.13,상임위관련회의,"36,000",국회회관의원식당,간담회_식대,,75,
17_000072,3,강길부,자유한국당,200,울산 울주군,2017.2.14,정기국회대책회의,"36,000",구마산,간담회_식대,,75,
17_000075,3,강길부,자유한국당,200,울산 울주군,2017.2.16,정기국회대책회의,"36,000",국회회관의원식당,간담회_식대,,75,
17_000079,3,강길부,자유한국당,200,울산 울주군,2017.2.20,상임위관련회의,"36,000",국회회관의원식당,간담회_식대,,75,
17_000081,3,강길부,자유한국당,200,울산 울주군,2017.2.21,상임위관련회의,"89,700",대방골,간담회_식대,,75,
17_000085,3,강길부,자유한국당,200,울산 울주군,2017.2.23,상임위관련회의,"228,700",주식회사서여의도해우리,간담회_식대,,75,
17_000087,3,강길부,자유한국당,200,울산 울주군,2017.2.25,지역현안회의,"76,000",정안정,간담회_식대,,75,
17_000089,3,강길부,자유한국당,200,울산 울주군,2017.2.27,상임위관련회의,"36,000",구마산,간담회_식대,,75,
17_000097,3,강길부,자유한국당,200,울산 울주군,2017.2.28,지역현안회의,"25,000",정안정,간담회_식대,,75,
17_000102,3,강길부,자유한국당,200,울산 울주군,2017.3.2,상임위관련회의,"104,000",너섬,간담회_식대,,75,
17_000104,3,강길부,자유한국당,200,울산 울주군,2017.3.3,수행직원식대2인,"18,000",구마산,사무실_식대비,,75,
17_000105,3,강길부,자유한국당,200,울산 울주군,2017.3.3,상임위관련회의,"98,000",고봉삼계탕,간담회_식대,,75,
17_000106,3,강길부,자유한국당,200,울산 울주군,2017.3.6,상임위관련회의,"45,000",구마산,간담회_식대,,75,
17_000107,3,강길부,자유한국당,200,울산 울주군,2017.3.7,지역예산회의,"29,600",언양불고기,간담회_식대,,75,
17_000108,3,강길부,자유한국당,200,울산 울주군,2017.3.8,상임위관련회의,"119,600",대방골,간담회_식대,,75,
17_000111,3,강길부,자유한국당,200,울산 울주군,2017.3.13,정기국회대책회의,"116,000",낙원,간담회_식대,,75,
17_000116,3,강길부,자유한국당,200,울산 울주군,2017.3.15,정기국회대책회의,"52,000",다모아산채,간담회_식대,,75,
17_000117,3,강길부,자유한국당,200,울산 울주군,2017.3.16,상임위관련회의,"223,000",운산아이지에스,간담회_식대,,75,
17_000118,3,강길부,자유한국당,200,울산 울주군,2017.3.16,상임위관련회의,"108,000",여의도소호정,간담회_식대,,75,
17_000124,3,강길부,자유한국당,200,울산 울주군,2017.3.28,수행직원식대2인,"16,000",김가네,사무실_식대비,,75,
17_000125,3,강길부,자유한국당,200,울산 울주군,2017.3.29,상임위관련회의,"36,000",국회회관의원식당,간담회_식대,,75,
17_000140,3,강길부,자유한국당,200,울산 울주군,2017.4.12,수행직원식대,"6,000",코레일유통(주)남부지사,사무실_식대비,,75,
17_000144,3,강길부,자유한국당,200,울산 울주군,2017.4.14,상임위관련회의,"50,000",마포대나무집,간담회_식대,,75,
17_000146,3,강길부,자유한국당,200,울산 울주군,2017.4.17,상임위관련회의,"54,000",구마산,간담회_식대,,75,
17_000147,3,강길부,자유한국당,200,울산 울주군,2017.4.18,당대책회의,"50,000",한화호텔앤리조트(주)CJ라이온점,간담회_식대,,75,
17_000152,3,강길부,자유한국당,200,울산 울주군,2017.4.20,지역현안회의,"112,000",터미널식당,간담회_식대,,75,
17_000154,3,강길부,자유한국당,200,울산 울주군,2017.4.21,자역현안회의,"66,000",농수산물구내식당,간담회_식대,,75,
17_000156,3,강길부,자유한국당,200,울산 울주군,2017.4.27,상임위관련회의,"126,000",구마산,간담회_식대,,75,
17_000157,3,강길부,자유한국당,200,울산 울주군,2017.4.27,수행직원식대,"7,500",전주관,사무실_식대비,,75,
17_000158,3,강길부,자유한국당,200,울산 울주군,2017.4.27,수행직원식대,"7,500",전주관,사무실_식대비,,75,
17_000167,3,강길부,자유한국당,200,울산 울주군,2017.5.3,수행직원식대2인,"15,000",전주관,사무실_식대비,,75,
